Sebastian Vettel;Ferrari;2;1;78;01:44:44:340
Kimi Räikkönen;Ferrari;1;2;78;01:44:47:485
Daniel Ricciardo;Red Bull;5;3;78;01:44:48:085
Valtteri Bottas;Mercedes;3;4;78;01:44:49:857
Max Verstappen;Red Bull;4;5;78;01:44:50:539
Carlos Sainz;Toro Rosso;6;6;78;01:44:56:378
Lewis Hamilton;Mercedes;13;7;78;01:45:00:141
Romain Grosjean;Haas F1 Team;8;8;78;01:45:02:490
Felipe Massa;Williams;14;9;78;01:45:03:785
Kevin Magnussen;Haas F1 Team;11;10;78;01:45:05:783
Jolyon Palmer;Renault;16;11;78;01:45:07:077
Esteban Ocon;Force India;15;12;78;01:45:08:065
Sergio Pérez;Force India;7;13;78;01:45:23:429
Daniil Kvyat;Toro Rosso;9;14;71;
Lance Stroll;Williams;17;15;71;
Stoffel Vandoorne;McLaren;12;16;66;
Marcus Ericsson;Sauber;19;17;63;
Jenson Button;McLaren;20;18;57;
Pascal Wehrlein;Sauber;18;19;57;
Nico Hülkenberg;Renault;10;20;15;
